	FOUM_7_2	HS_16_2	TE_6_43_1	BAD_18_1	IR_7_1	HS_7_1	FOUM_3_1	IR_13_1	NI_13_2	BAD_8_1	BAD_3_1	FOUM_14_2	BAD_14_2	HS_18_2	NI_16_2	TE_1_10_1_2	IR_4_2	NI_3_1	IR_10_2	HS_FA_2_2	TE_FA_1_1	NI_7_2	NI_19_1	BAD_1_1	IR_17_1	TE_21_30_1_1	TE_11_20_1_2	FOUM_8_2	HS_3_1	FOUM_17_2
VTX00397	0	0	0	0	0	0	0	0	0	23	0	0	0	161	0	1	0	0	64	3	0	11	0	0	0	42	0	0	10	0
VTX00175	1	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0
VTX00403	0	0	0	110	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
VTX00155	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0
VTX00214	0	1	125	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	118	7	1	0	0	0	2	0	0	0
VTX00380	0	0	0	0	0	0	40	0	4	6	18	7	15	0	2	147	0	0	0	0	15	0	1	0	0	0	1	0	0	0
VTX00262	0	44	0	0	0	0	0	0	0	104	0	7	0	3	0	25	0	0	0	0	53	0	0	0	0	0	0	0	0	0
VTX00090	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00269	0	98	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	35	41	33	0	0	0	0	0	0	0	0	0	0
VTX00312	0	4	0	118	1	1	0	0	6	1	0	0	0	3	0	12	0	0	5	0	0	32	1	0	0	3	1	0	10	0
VTX00028	0	0	0	32	0	0	16	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00154	0	72	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	7	56	0	0	0	0	10	0	0	0
VTX00146	145	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00276	0	0	0	0	0	0	26	0	38	50	0	28	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00137	0	0	4	0	2	0	0	1	0	24	3	0	0	4	57	8	0	0	0	0	4	1	0	0	0	30	0	0	1	0
VTX00212	0	0	0	0	0	0	0	0	25	23	85	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00367	0	0	0	0	0	0	0	98	4	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00398	0	7	51	0	4	0	10	0	0	12	0	4	12	4	0	0	0	12	2	0	0	0	3	0	0	0	0	0	0	0
VTX00356	0	0	0	0	0	0	0	0	17	38	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0
VTX00186	0	31	0	0	0	0	0	17	0	0	0	0	0	27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	0
VTX00435	0	0	0	16	0	0	2	0	22	22	13	3	11	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
VTX00188	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00109	0	0	0	0	0	0	2	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0
VTX00444	1	0	4	0	0	8	0	0	0	0	0	2	1	2	27	0	0	1	8	0	2	0	1	0	1	1	0	1	1	16
VTX00206	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	43	0	0	0
VTX00292	0	10	13	0	2	2	0	3	9	0	0	0	0	0	0	1	1	0	11	10	0	0	0	0	1	0	0	0	0	0
VTX00363	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00264	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00412	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00099	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
VTX00174	0	0	0	0	0	0	0	0	0	36	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0
VTX00454	0	0	2	0	3	1	0	4	1	6	0	0	0	0	1	8	1	0	7	0	0	0	1	0	0	0	0	0	0	0
VTX00156	0	0	0	0	0	0	0	0	0	0	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00005	0	0	0	0	0	0	0	0	5	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
VTX00278	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0
VTX00242	0	0	0	2	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
VTX00183	0	1	0	0	1	0	0	1	18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0
VTX00108	0	0	1	1	3	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0
VTX00053	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	11	1	0	0	0	9	0	0	0
VTX00426	0	12	0	0	0	2	0	1	0	0	0	0	0	6	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
VTX00309	0	1	3	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	12	0	0	3	0	0	0	0	0	0	0
VTX00248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
VTX00382	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	4	0	0	0
VTX00153	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0
VTX00409	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00400	0	0	1	0	1	0	9	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	0
VTX00323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
VTX00342	0	0	0	0	0	0	0	6	0	0	0	0	1	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
VTX00249	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00061	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	3	0	0	1	0	0	0
VTX00376	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00328	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00375	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	2	0	0	0	0	0	0	0	0
VTX00389	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00338	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00177	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00305	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
VTX00349	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00074	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
VTX00327	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
