	Domain	Phylum	Class	Order	Family	Genus
3b984b7cac77a42fa35336137cdb82eb605bd07e	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura
afaadedc44435285274f6103ab23c3c53754fabb	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavitalea
afa3e348b21243dd7d46276a3fbd33cc92f59c0a	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Cnuella
22242bf4d17b9e49554b2f711bb9f938a8be6ec5	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobium
2d4c3d614e039a95bcc06977adcc69ca196dbdc8	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Actinomarinicola
7d7a62b9b5283284adb63416bac704979e4e6f8b	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
0f51f71a34b218fb9f789af307a7ffe567a09131	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Thermotunica
1bfaf76bcee9a388cacb944e54b687693ab5bb4a	Bacteria	Thermomicrobiota	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Sphaerobacter
508d137d2f3a489843c959d39e5659a8f9e1f0df	Bacteria	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus
6dee59addb36b407d27df60d7697575d1509f709	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Marispirillum
b46ef542a42522d4343f3550d1b8372e112a17fb	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
e398506e0695ae2b35c81c7d2fac4dad0a781faa	Bacteria	Acidobacteriota	Acidobacteria_Gp1	Gp1	Gp1	Gp1
cb5c4dce7b38a6b73b75e7675058d61ddae89b2e	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa
2a8f163ed3b5c9d2dccf5375d6c7c505964b1a31	Bacteria	Pseudomonadota	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Thermodesulforhabdus
89e355be745ac92773c8d00761e4785fbd71a2b2	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
7e9ffe460e5f8956cdafa4642fd55f665995d635	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
ccec471da90464a2d7cc395636974cc697d0af7e	Bacteria	Actinomycetota	Actinobacteria	Kineosporiales	Kineosporiaceae	Angustibacter
c82f51023ae614210e17dbd9ef8f20773f7f780d	Bacteria	Acidobacteriota	Acidobacteria_Gp1	Gp1	Gp1	Gp1
95d9b2aef6e22b2c417ef2e9a432d83834c97aa1	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Pyxidicoccus
50cd3a2695d25692b227bc27b20871d46cad1e1b	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Aurantiacibacter
133503ffda2a35e70832a2697fd4d1cba5407528	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Parasediminibacterium
6cf39b4901bf64717af9667b6ac81344576bc685	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium
1f81e1c99d1c04e2da50730d41176c8da48c1ea0	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
ddae02924ff3fb44aac440145c6771697591e833	Bacteria	Pseudomonadota	Betaproteobacteria	Betaproteobacteria_incertae_sedis	Casimicrobiaceae	Casimicrobium
deb756de5a0d01c3a87e7234c068107c4a42617c	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Candidatus Koribacter
